id,product,slug,category,collection,variant,price,price_status,dimensions,specifications,image_paths,source_catalogue,source_page,source_region,verification_status,notes
oxy,OXY,oxy,sofas,Sofas,OXY,58000/-,VERIFIED,VERIFIED,NOT_PROVIDED,"/images/products/oxy.jpeg, /images/products/oxy-9-36.jpeg",ZEN SOFA SERIES,Various,Various,VERIFIED,
june,JUNE,june,sofas,Sofas,,53000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/june.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
spencer,SPENCER,spencer,sofas,Sofas,,98000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/spencer.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
dream,DREAM,dream,sofas,Sofas,,58000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/dream.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
meridian,MERIDIAN,meridian,sofas,Sofas,,82000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/meridian.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
california,CALIFORNIA,california,sofas,Sofas,,52000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/california.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
saphire,SAPHIRE,saphire,sofas,Sofas,,54500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/saphire.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
curve,CURVE,curve,sofas,Sofas,,68000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/curve.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
tiara,TIARA,tiara,sofas,Sofas,,72000/-,CONFLICT,VERIFIED,NOT_PROVIDED,/images/products/tiara.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
florance,FLORANCE,florance,sofas,Sofas,,54000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/florance.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
montana,MONTANA,montana,sofas,Sofas,,72000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/montana.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
corbusier,CORBUSIER,corbusier,sofas,Sofas,,63000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/corbusier.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
barcelona,BARCELONA,barcelona,sofas,Sofas,,74000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/barcelona.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
kitkat,KITKAT,kitkat,sofas,Sofas,,52000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/kitkat.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
havoc,HAVOC,havoc,sofas,Sofas,,45500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/havoc.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
futon,FUTON,futon,sofas,Sofas,,45500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/futon.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
veronica,VERONICA,veronica,sofas,Sofas,,81000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/veronica.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
benz,BENZ,benz,sofas,Sofas,,56000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/benz.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
crystal,CRYSTAL,crystal,sofas,Sofas,,65000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/crystal.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
nero,NERO,nero,sofas,Sofas,,58000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/nero.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
aero,AERO,aero,sofas,Sofas,,42000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/aero.jpeg,ZEN SOFA SERIES,Various,Various,VERIFIED,
freedom,FREEDOM,freedom,executive,Executive,FREEDOM,- 130000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Black frame chrome aluminium diecast with korean mesh.""}, {""key"": ""Feature"", ""value"": ""Black frame chrome alloy 5D armrest.""}, {""key"": ""Feature"", ""value"": ""50mm Adjustable Lumbar Support.""}, {""key"": ""Feature"", ""value"": ""Wire control with multi position knee tilt syncro along with seat slider.""}, {""key"": ""Feature"", ""value"": ""700mm Aluminium Die cast base with 68mm Nylon Castor.""}]","/images/products/freedom.jpeg, /images/products/freedom-1-99.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
falcon-elite,FALCON ELITE,falcon-elite,executive,Executive,,: 76000/- | MB : 74500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/falcon-elite-grey-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
norway,NORWAY,norway,executive,Executive,NORWAY HB,: 34000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon frame with korean mesh in back and seat""}, {""key"": ""Feature"", ""value"": ""3D Adjustable armrest.""}, {""key"": ""Feature"", ""value"": ""Innovation mechanism.""}, {""key"": ""Feature"", ""value"": ""Two position lock, zero pressure seat.""}, {""key"": ""Feature"", ""value"": ""700 mm Nylon base with 60mm castors & class 4 gas lift.""}]","/images/products/norway-hb.jpeg, /images/products/norway-hb-2-106.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
700mm,700MM,700mm,executive,Executive,700MM,NOT_PROVIDED,NOT_PROVIDED,VERIFIED,NOT_PROVIDED,"/images/products/700mm-25-197.jpeg, /images/products/700mm-25-199.jpeg, /images/products/700mm-26-204.jpeg, /images/products/700mm-21-183.jpeg, /images/products/700mm-23-191.jpeg, /images/products/700mm-9-134.jpeg, /images/products/700mm-10-138.jpeg, /images/products/700mm-10-137.jpeg, /images/products/700mm.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
rooster,ROOSTER,rooster,executive,Executive,,: 38000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon back with korean mesh and 3D headrest.""}, {""key"": ""Feature"", ""value"": ""4D adjustable armrest with PU pad.""}, {""key"": ""Feature"", ""value"": ""Self adjustable lumbar support with Shadow function.""}, {""key"": ""Feature"", ""value"": ""Wire control with multi position knee tilt synchro along with seat slider.""}, {""key"": ""Feature"", ""value"": ""Unleash comfort with an extendable footrest.""}, {""key"": ""Feature"", ""value"": ""700mm Aluminium Die cast base with 60mm nylon castors.""}]",/images/products/rooster-hb-grey.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
destiny,DESTINY,destiny,executive,Executive,,: 38000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/destiny-hb-grey.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
bassel,BASSEL,bassel,executive,Executive,BASSEL WHITE HB,27000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon backrest with lumbar support & mesh fabric.""}, {""key"": ""Feature"", ""value"": ""4D Adjustable Armrest with Gel PU pad.""}, {""key"": ""Feature"", ""value"": ""Self weight syncro tilt mechanism with multi position lock & seat slider.""}, {""key"": ""Feature"", ""value"": ""700mm aluminium diecast base with glass filled nylon castors & class 4 Gas lift.""}]","/images/products/bassel-white-hb.jpeg, /images/products/bassel-black-hb.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
gamma,GAMMA,gamma,executive,Executive,,00/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/gamma.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
muse,MUSE,muse,executive,Executive,,28500/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon backrest with lumbar support & mesh fabric.""}, {""key"": ""Feature"", ""value"": ""4D Adjustable Armrest with Gel PU pad.""}, {""key"": ""Feature"", ""value"": ""Self weight syncro tilt mechanism with multi position lock & seat slider.""}, {""key"": ""Feature"", ""value"": ""700mm aluminium diecast base with glass filled nylon castors & class 4 Gas lift.""}]",/images/products/muse-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
galaxy,GALAXY,galaxy,executive,Executive,,: 23500/- | MB : 22500/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon backrest with lumbar support & mesh fabric.""}, {""key"": ""Feature"", ""value"": ""6D Adjustable Armrest with Gel PU pad.""}, {""key"": ""Feature"", ""value"": ""Multi lock syncro tilt mechanism with seat slider.""}, {""key"": ""Feature"", ""value"": ""Glass filled nylon base with nylon castors & class 4 Gas lift.""}]",/images/products/galaxy-grey-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
galaxy-mesh,GALAXY MESH,galaxy-mesh,executive,Executive,,31000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/galaxy-mesh-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
zoy,ZOY,zoy,executive,Executive,ZOY WHITE HB,500/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon backrest with lumbar support & mesh fabric.""}, {""key"": ""Feature"", ""value"": ""4D Adjustable Armrest with Gel PU pad.""}, {""key"": ""Feature"", ""value"": ""Self weight syncro tilt mechanism with multi position lock & seat slider.""}, {""key"": ""Feature"", ""value"": ""700mm aluminium diecast base with glass filled nylon castors &""}]","/images/products/zoy-white-hb.jpeg, /images/products/zoy-black-hb.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
700mm-aluminium-diecast-base-with-glass-filled-nylon-castors-&,700MM ALUMINIUM DIECAST BASE WITH GLASS FILLED NYLON CASTORS &,700mm-aluminium-diecast-base-with-glass-filled-nylon-castors-&,executive,Executive,,NOT_PROVIDED,NOT_PROVIDED,VERIFIED,NOT_PROVIDED,/images/products/700mm-aluminium-diecast-base-with-glass-filled-nylon-castors.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
cross,CROSS,cross,executive,Executive,,17500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/cross-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
acosta,ACOSTA,acosta,executive,Executive,,20500/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon back with composite leather on seat &back.""}, {""key"": ""Feature"", ""value"": ""3D adjustable armrest with gel PU pad.""}, {""key"": ""Feature"", ""value"": ""Center tilt syncro with multi position lock.""}, {""key"": ""Feature"", ""value"": ""Lumbar support with extra cushion padding.""}, {""key"": ""Feature"", ""value"": ""700mm nylon base with 60mm nylon castors & class 4 Gas lift.""}]",/images/products/acosta-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
available-in-:,AVAILABLE IN :,available-in-:,executive,Executive,AVAILABLE IN :,NOT_PROVIDED,NOT_PROVIDED,VERIFIED,NOT_PROVIDED,"/images/products/available-in.jpeg, /images/products/available-in-15-160.jpeg, /images/products/available-in-14-154.jpeg",ZEN EXECUTIVE SERIES,Various,Various,NEEDS_REVIEW,
spark,SPARK,spark,executive,Executive,,: 14500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/spark-white-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
perth,PERTH,perth,executive,Executive,,19000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon back with fabric on seat &back.""}, {""key"": ""Feature"", ""value"": ""3D adjustable armrest with gel PU pad.""}, {""key"": ""Feature"", ""value"": ""Center tilt syncro with multi position lock.""}, {""key"": ""Feature"", ""value"": ""Lumbar support with extra cushion padding.""}, {""key"": ""Feature"", ""value"": ""700mm nylon base with 60mm nylon castors & class 4 Gas lift.""}]",/images/products/perth-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
wisdom,WISDOM,wisdom,executive,Executive,,17500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/wisdom-black-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
troy,TROY,troy,executive,Executive,,00/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon backrest with lumbar support & mesh fabric.""}, {""key"": ""Feature"", ""value"": ""4D Adjustable Armrest with Gel PU pad.""}, {""key"": ""Feature"", ""value"": ""Self weight syncro tilt mechanism with multi position lock & seat slider.""}, {""key"": ""Feature"", ""value"": ""700mm aluminium diecast base with glass filled nylon castors & class 4 Gas lift.""}]",/images/products/troy-white-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
winner,WINNER,winner,executive,Executive,WINNER GREY HB,13750/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon backrest with adjustable lumbar support.""}, {""key"": ""Feature"", ""value"": ""Cantilever nylon armrest with PU pad with flipping movement.""}, {""key"": ""Feature"", ""value"": ""Centre tilt mechanism with single position locking.""}, {""key"": ""Feature"", ""value"": ""650mm nylon base with 60mm nylon castors & class 4 Gas lift.""}]","/images/products/winner-black-hb.jpeg, /images/products/winner-grey-hb.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
650mm,650MM,650mm,executive,Executive,650MM,NOT_PROVIDED,NOT_PROVIDED,VERIFIED,NOT_PROVIDED,"/images/products/650mm-16-164.jpeg, /images/products/650mm.jpeg, /images/products/650mm-13-149.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
ergon-cush,ERGON CUSH,ergon-cush,executive,Executive,,: 10000/- | MB : 9500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/ergon-cush-white-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
ergon-mesh,ERGON MESH,ergon-mesh,executive,Executive,ERGON MESH BLACK HB,21500/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon seat & back with korean mesh.""}, {""key"": ""Feature"", ""value"": ""Fully adjustable backrest, armrest & seat depth.""}, {""key"": ""Feature"", ""value"": ""Adjustable headrest & lumbar support.""}, {""key"": ""Feature"", ""value"": ""Syncro tilt with multi position lock.""}, {""key"": ""Feature"", ""value"": ""700mm Aluminium Diecast base with 60mm nylon castors & class 4 gaslift.""}]","/images/products/ergon-mesh-black-hb.jpeg, /images/products/ergon-mesh-white-hb.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
ind,IND,ind,executive,Executive,,NOT_PROVIDED,NOT_PROVIDED,VERIFIED,NOT_PROVIDED,/images/products/ind.jpeg,ZEN EXECUTIVE SERIES,Various,Various,NEEDS_REVIEW,
glaze-mesh,GLAZE MESH,glaze-mesh,executive,Executive,,10000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled nylon back with mesh and fabric seat.""}, {""key"": ""Feature"", ""value"": ""Fixed PP armrest attached with the back.""}, {""key"": ""Feature"", ""value"": ""Fixed Lumbar support.""}, {""key"": ""Feature"", ""value"": ""Center tilt with single position lock.""}, {""key"": ""Feature"", ""value"": ""650mm nylon base with 60mm nylon castors & class 4 Gas lift.""}]",/images/products/glaze-mesh-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
glaze-cushion,GLAZE CUSHION,glaze-cushion,executive,Executive,,8500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/glaze-cushion-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
hexa,HEXA,hexa,executive,Executive,,13500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/hexa-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
deca,DECA,deca,executive,Executive,,12000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled Nylon back with Fabric Mesh.""}, {""key"": ""Feature"", ""value"": ""Fixed PP armrest attached with back.""}, {""key"": ""Feature"", ""value"": ""Fix lumbar support.""}, {""key"": ""Feature"", ""value"": ""Center tilt mechanism with single position lock.""}, {""key"": ""Feature"", ""value"": ""650mm nylon base with twin wheel nylon castors & class 4 gas lift.""}]",/images/products/deca-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
trio,TRIO,trio,executive,Executive,TRIO GREY HB,11500/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled Nylon back with Fabric Mesh.""}, {""key"": ""Feature"", ""value"": ""Fixed PP armrest.""}, {""key"": ""Feature"", ""value"": ""Fix lumbar support.""}, {""key"": ""Feature"", ""value"": ""Center tilt mechanism with single position lock.""}, {""key"": ""Feature"", ""value"": ""650mm nylon base with twin wheel nylon castors & class 4 gas lift.""}]","/images/products/trio-grey-hb.jpeg, /images/products/trio-black-hb.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
octa,OCTA,octa,executive,Executive,,: 10500/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Glass filled Nylon back with Fabric Mesh.""}, {""key"": ""Feature"", ""value"": ""Fixed PP armrest attached with back.""}, {""key"": ""Feature"", ""value"": ""Fix lumbar support.""}, {""key"": ""Feature"", ""value"": ""Center tilt mechanism with single position lock.""}, {""key"": ""Feature"", ""value"": ""650mm nylon base with twin wheel nylon castors & class 4 gas lift.""}]",/images/products/octa-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
karina-dlx,KARINA DLX,karina-dlx,executive,Executive,,00/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/karina-dlx-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
omega-blk-mesh,OMEGA BLK MESH,omega-blk-mesh,executive,Executive,,: 9000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/omega-blk-mesh-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
omega-wht,OMEGA WHT,omega-wht,executive,Executive,,10000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/omega-wht.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
atom-dlx,ATOM DLX,atom-dlx,executive,Executive,,: 9500/- | MB : 8200/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/atom-dlx-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
eon-dlx,EON DLX,eon-dlx,executive,Executive,,: 8900/- | MB : 7900/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/eon-dlx-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
attitude,ATTITUDE,attitude,executive,Executive,ATTITUDE HB,52000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Multibend nylon body with moulded cushion, Finest PU on seat & back.""}, {""key"": ""Feature"", ""value"": ""Aluminium die cast Fix armrest with padded cushion.""}, {""key"": ""Feature"", ""value"": ""Extra cushion padding for lumbar support.""}, {""key"": ""Feature"", ""value"": ""Knee tilt syncro with multi position lock.""}, {""key"": ""Feature"", ""value"": ""700mm Aluminium Diecast base & 60mm nylon castors with class 4 Gas lift.""}]","/images/products/attitude-hb.jpeg, /images/products/attitude-hb-20-178.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
bentley-(leather),BENTLEY (LEATHER),bentley-(leather),executive,Executive,,56000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/bentley-leather-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
calvin-leather,CALVIN LEATHER,calvin-leather,executive,Executive,,: 40000/- |MB : 36000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/calvin-leather-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
oyster-(leather),OYSTER (LEATHER),oyster-(leather),executive,Executive,,47500/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/oyster-leather-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
martin,MARTIN,martin,executive,Executive,,76000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Hand crafted exceptional finest grade leather on seat & back placed on multibend""}, {""key"": ""Feature"", ""value"": ""Aluminum die cast armrest padded with finest leather.""}, {""key"": ""Feature"", ""value"": ""Self In-design lumbar support.""}, {""key"": ""Feature"", ""value"": ""Syncro knee tilt mechanism with multi locking function.""}, {""key"": ""Feature"", ""value"": ""700mm Aluminum Diecast base with Nylon Castor.""}]",/images/products/martin-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
magnet,MAGNET,magnet,executive,Executive,,61000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/magnet-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
marquis,MARQUIS,marquis,executive,Executive,,55000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Multibend plywood with moulded cushion, Finest composite leather on seat & back.""}, {""key"": ""Feature"", ""value"": ""Fix armrest with padded cushion.""}, {""key"": ""Feature"", ""value"": ""Knee tilt syncro with multi position lock.""}, {""key"": ""Feature"", ""value"": ""Innovative air lumbar support.""}, {""key"": ""Feature"", ""value"": ""700mm Aluminium Diecast base & 60mm nylon castors with class 4 Gas lift.""}]",/images/products/marquis-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
jaguar,JAGUAR,jaguar,executive,Executive,,58000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/jaguar-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
winster,WINSTER,winster,executive,Executive,,85000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Multibend plywood with down feather cushion, Finest pure leather on seat & back.""}, {""key"": ""Feature"", ""value"": ""Fix armrest with padded cushion.""}, {""key"": ""Feature"", ""value"": ""Knee tilt with multi position lock.""}, {""key"": ""Feature"", ""value"": ""Lumbar support with extra cushion padding.""}, {""key"": ""Feature"", ""value"": ""700mm Wooden base & 60mm nylon castors with class 4 Gas lift.""}]",/images/products/winster-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
trust,TRUST,trust,executive,Executive,TRUST HB,00/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Multibend plywood with moulded cushion, Finest PU on seat & back.""}, {""key"": ""Feature"", ""value"": ""Fix armrest with padded cushion.""}, {""key"": ""Feature"", ""value"": ""Knee tilt syncro with multi position lock.""}, {""key"": ""Feature"", ""value"": ""Lumbar support with extra cushion padding.""}, {""key"": ""Feature"", ""value"": ""700mm MS chrome base & 60mm nylon castors with class 4 Gas lift.""}]","/images/products/trust-hb-25-200.jpeg, /images/products/trust-hb.jpeg",ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
legacy,LEGACY,legacy,executive,Executive,,31000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/legacy-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
heritage,HERITAGE,heritage,executive,Executive,,114000/-,VERIFIED,VERIFIED,"[{""key"": ""Feature"", ""value"": ""Multibend plywood with soft cushion, Finest pure leather on seat & back.""}, {""key"": ""Feature"", ""value"": ""Fix armrest with padded cushion.""}, {""key"": ""Feature"", ""value"": ""Extra cushion padding for lumbar support.""}, {""key"": ""Feature"", ""value"": ""Knee tilt syncro with multi position lock.""}, {""key"": ""Feature"", ""value"": ""700mm Aluminium Diecast base with Gold coating & 60mm Nylon""}]",/images/products/heritage-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
700mm-aluminium-diecast-base-with-60mm-nylon-castors,700MM ALUMINIUM DIECAST BASE WITH 60MM NYLON CASTORS,700mm-aluminium-diecast-base-with-60mm-nylon-castors,executive,Executive,,NOT_PROVIDED,NOT_PROVIDED,VERIFIED,NOT_PROVIDED,/images/products/700mm-aluminium-diecast-base-with-60mm-nylon-castors.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
epson,EPSON,epson,executive,Executive,,32000/-,VERIFIED,VERIFIED,NOT_PROVIDED,/images/products/epson-hb.jpeg,ZEN EXECUTIVE SERIES,Various,Various,VERIFIED,
